ORIGINAL	CONTEXT	TRANSLATED
done, When the battle's lost and won.	When the hurlyburly's done, When the battle's lost and won.	over, when the battle is lost or won.

meet with Macbeth.	There to meet with Macbeth.	Meet with Macbeth.

Hover through the fog and filthy air.	Fair is foul, and foul is fair: Hover through the fog and filthy air.	Fly through the fog and dirty air.

the fog and filthy air	Fair is foul, and foul is fair: Hover through the fog and filthy air.	the fog and dirty air

report, As seemeth by his plight, of the revolt The newest state.	What bloody man is that? He can report, As seemeth by his plight, of the revolt The newest state.	report on the latest developments of the rebellion, as his condition suggests.

a good and hardy soldier	This is the sergeant Who like a good and hardy soldier fought ' Gainst my captivity.	a good and tough soldier

sergeant Who like a good and hardy soldier fought '	This is the sergeant Who like a good and hardy soldier fought ' Gainst my captivity.	sergeant who fought like a good and brave soldier

Hail, brave friend!	Gainst my captivity. Hail, brave friend! Say to the king the knowledge of the broil As thou didst leave it.	Hello, brave friend!

knowledge of the broil As thou didst leave it.	Hail, brave friend! Say to the king the knowledge of the broil As thou didst leave it.	Tell the king what you know about the battle, just as you left it.

cling together And choke their art.	Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name—	holding onto each other and hindering their ability to swim.

two spent swimmers	Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name—	two exhausted swimmers

villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name—	Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;	evil traits seem to gather around him—he gets soldiers from the western isles; And luck, favoring his wicked fight, looked like a prostitute for a rebel: but it was all too weak. For brave Macbeth—he deserves that title—

brave Macbeth	Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;	brave Macbeth

a rebel's whore	Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;	a rebel's prostitute

